text,label
"T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 Confidentiality and Non Disclosure Obligations By accepting this offer, you acknowledge and agree to be bound by the following confidentiality and non disclosure obligations for the entire duration of your engagement and thereafter: 1",Low
"Definition of Confidential Information ""Confidential Information"" shall mean all information, in any form (written, electronic, verbal, or otherwise), that is proprietary to the Company and not available in the public domain",Low
"This includes, without limitation, trade secrets, source code, algorithms, technical documentation, product designs, business strategies, financial records, client and customer data, vendor agreements, internal communications, employee information, and any other information disclosed to you or accessed by you during the course of your internship",Low
Obligation of Confidentiality You shall maintain the strictest confidence with respect to all Confidential Information,Low
"You shall not, directly or indirectly, disclose, publish, communicate, or make available any Confidential Information to any third party without the prior written authorisation of the Company",Medium
You shall use Confidential Information exclusively for the purpose of performing your assigned duties under this agreement,Low
"You shall take all reasonable precautions to prevent the unauthorised disclosure, reproduction, or misuse of Confidential Information",Low
Exceptions The obligations set forth above shall not apply to information that: (a) is or becomes part of the public domain through no act or omission on your part,Low
"(b) was demonstrably in your lawful possession prior to its disclosure by the Company, as evidenced by contemporaneous written records",Low
"or (c) is required to be disclosed pursuant to a valid order of a court or governmental authority, provided that you furnish prompt written notice to the Company prior to such disclosure, to the extent legally permissible, to enable the Company to seek appropriate protective measures",Low
"Return and Destruction of Materials Upon the conclusion or termination of your internship, howsoever arising, you shall immediately return to the Company all documents, files, records, media, and materials (in both physical and electronic form) containing or relating to Confidential Information",Low
"Where return is not feasible, you shall permanently destroy such materials and provide written confirmation of destruction to the Company upon request",Low
"Survival of Obligations Your confidentiality and non disclosure obligations under this agreement shall survive the termination or expiry of your internship and shall remain in full force and effect indefinitely, unless expressly released in writing by an authorised representative of the Company",Low
"Consequences of Breach Any breach of these confidentiality obligations may result in the immediate termination of your internship and may expose you to legal proceedings, including claims for damages, injunctive relief, and any other remedies available under applicable law",Low
"Code of Conduct and Workplace Ethics Throughout the duration of your internship, you are required to observe and comply with the following standards of professional conduct and workplace ethics: 1",Low
"Professional Conduct You shall conduct yourself with professionalism, honesty, and integrity in all interactions with colleagues, supervisors, clients, and external stakeholders",Low
"Behaviour that is disruptive, disrespectful, discriminatory, or otherwise detrimental to the work environment is strictly prohibited and may result in disciplinary action",Low
"Compliance with Company Policies You are required to familiarise yourself with and strictly adhere to all applicable Company policies, including those pertaining to information security, acceptable use of technology, workplace safety, anti harassment, and anti discrimination",Low
Ignorance of any policy shall not constitute a valid defence in the event of a violation,Low
"Responsible Use of Company Resources All Company resources, including software, hardware, digital accounts, intellectual property, and proprietary tools, shall be used solely for authorised business purposes",Low
"Unauthorised use, reproduction, distribution, or modification of any Company resource is strictly prohibited",Medium
T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 4,Low
Discretion in Communications You shall exercise appropriate discretion in all communications related to Company business,Low
"Sensitive or proprietary information must not be discussed, transmitted, or stored on unsecured platforms, or public forums without explicit authorisation",Low
"Conflict of Interest You are obligated to promptly disclose any personal, financial, or professional interest that may conflict, or appear to conflict, with your duties and responsibilities at the Company",Low
"You shall not engage in any external activity, employment, or business relationship that may compromise your objectivity, performance, or loyalty to the Company during the term of this agreement",Low
"Reporting of Violations If you become aware of any conduct that violates Company policies, applicable laws, or ethical standards, you are obligated to report such matters promptly to your reporting manager or the Human Resources department",Low
The Company prohibits retaliation against any individual who reports a concern in good faith,Low
Disciplinary Measures Non compliance with this Code of Conduct may result in disciplinary action proportionate to the nature and severity of the violation,Low
"Such action may include, but is not limited to, formal written warnings, temporary suspension of duties, or immediate termination of the internship",Low
"Standard Work Schedule The standard work week consists of five (5) working days, Monday through Friday",Low
Saturdays and Sundays are designated as weekly off days,Low
"However, the Company reserves the right to request your availability on non working days in exceptional circumstances, such as critical project deadlines or operational exigencies, with reasonable prior notice",Low
Leave Application Procedure All planned leave requests must be submitted to your reporting manager with a minimum of twenty four (24) hours advance notice,Low
"Approval of leave is at the discretion of your reporting manager, taking into account project timelines and operational requirements",Low
"In the event of an unforeseen or emergency absence, you must notify your reporting manager at the earliest possible opportunity, providing the reason for your absence",Low
Unauthorised Absence Any absence without prior approval or timely notification shall be treated as unauthorised,Low
"Repeated or prolonged unauthorised absences may adversely affect your performance evaluation and may constitute grounds for disciplinary action, up to and including termination of the internship",Low
Performance and Evaluation Your performance shall be evaluated on an ongoing basis throughout the internship period,Low
"Evaluation criteria include, but are not limited to, the quality and timeliness of your deliverables, your ability to meet assigned objectives, your responsiveness to feedback, and your overall contribution to the projects and teams you are assigned to",Low
"Upon the successful completion of your internship tenure, the following outcomes shall apply: (a) You shall receive a formal Letter of Completion and Experience certifying the duration and nature of your internship, irrespective of your performance rating",Low
"(b) Based on a favourable performance assessment, you may be issued a Letter of Recommendation at the discretion of your reporting manager and the Human Resources department",Low
"(c) In cases of exceptional performance, a Pre Placement Offer (PPO) for a full time role may be extended, subject to the Company's evaluation criteria, headcount availability, and business requirements at the time of assessment",Low
T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 Termination of Internship This internship agreement may be terminated by either party in accordance with the following provisions: 1,Low
"Termination by the Company The Company reserves the right to terminate this agreement with immediate effect, without prior notice, in the event of: (a) gross misconduct, dishonesty, or unethical behaviour",High
(b) material breach of any term or condition of this agreement,Low
(c) persistent failure to meet the required standards of performance despite reasonable opportunity and feedback,Low
"(d) engagement in any activity that constitutes fraud, misrepresentation, or a conflict of interest",Low
"or (e) any conduct that, in the reasonable judgement of the Company, is detrimental to its interests, reputation, or operations",Low
Termination by the Intern You may terminate this internship by submitting a written resignation to your reporting manager with a minimum notice period of seven (7) calendar days,High
The notice must clearly state the intended last working day and the reason for resignation,Low
Mutual Notice Period Except in cases of termination for cause as described in,High
"above, either party shall provide a minimum written notice of seven (7) calendar days prior to the effective date of termination",High
"Return of Company Property Upon termination or expiry of this agreement, you shall immediately return all Company property in your possession, including but not limited to documents, credentials, access tokens, digital assets, equipment, and any materials containing Confidential Information",Low
"Acknowledgment and Acceptance By affixing your signature below, you hereby confirm that you have read this agreement in its entirety, that you fully understand its contents and implications, and that you voluntarily and unconditionally accept all terms, conditions, obligations, and policies set forth herein",Low
Your signature constitutes a binding acknowledgment of your acceptance of the internship offer and your commitment to comply with the provisions of this agreement,Low
"To formalise your acceptance, please sign this document and submit the signed copy through the secure submission link provided in the accompanying offer email on or before the deadline specified below",Low
Submission Deadline: 10th April 2026 Failure to submit the signed offer letter by the above deadline may result in the withdrawal of this offer,Low
We look forward to welcoming you to Zorvyn FinTech Pvt,Low
and to a productive professional engagement,Low
"For Intern's Acknowledgment: Name: _________________________________ Date: __________________________________ Signature: _____________________________ Best Regards, Raj Kishor Pattnaik Chief Executive Officer Zorvyn FinTech Pvt",Low
T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0,Low
"This letter sets forth the complete terms and conditions governing your internship engagement, including your role, reporting structure, compensation, obligations, and the policies applicable to your tenure",Low
Employment Agreement: Terms and Conditions You are hereby offered the position of Frontend Developer Intern on an internship basis under a fully remote work arrangement,Low
"Vijay Adsul will be responsible for assigning tasks, providing guidance, evaluating your deliverables, and ensuring adherence to the terms of this agreement throughout the internship period",Low
"Your internship shall commence on 13th April 2026 and shall continue for a period of 6 Months, concluding on 12th October 2026, unless terminated earlier in accordance with the provisions set forth in this agreement",Low
"T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 Confidentiality and Non Disclosure Obligations By accepting this offer, you acknowledge and agree to be bound by the following confidentiality and non disclosure obligations for the entire duration of your engagement and thereafter: 1",Low
"This includes, without limitation, trade secrets, source code, algorithms, technical documentation, product designs, business strategies, financial records, client and customer data, vendor agreements, internal communications, employee information, and any other information disclosed to you or accessed by you during the course of your internship",Low
Obligation of Confidentiality You shall maintain the strictest confidence with respect to all Confidential Information,Low
"You shall not, directly or indirectly, disclose, publish, communicate, or make available any Confidential Information to any third party without the prior written authorisation of the Company",Medium
You shall use Confidential Information exclusively for the purpose of performing your assigned duties under this agreement,Low
Exceptions The obligations set forth above shall not apply to information that: (a) is or becomes part of the public domain through no act or omission on your part,Low
"Return and Destruction of Materials Upon the conclusion or termination of your internship, howsoever arising, you shall immediately return to the Company all documents, files, records, media, and materials (in both physical and electronic form) containing or relating to Confidential Information",Low
"Survival of Obligations Your confidentiality and non disclosure obligations under this agreement shall survive the termination or expiry of your internship and shall remain in full force and effect indefinitely, unless expressly released in writing by an authorised representative of the Company",Low
"Consequences of Breach Any breach of these confidentiality obligations may result in the immediate termination of your internship and may expose you to legal proceedings, including claims for damages, injunctive relief, and any other remedies available under applicable law",Low
"You shall not engage in any external activity, employment, or business relationship that may compromise your objectivity, performance, or loyalty to the Company during the term of this agreement",Low
"Such action may include, but is not limited to, formal written warnings, temporary suspension of duties, or immediate termination of the internship",Low
"Repeated or prolonged unauthorised absences may adversely affect your performance evaluation and may constitute grounds for disciplinary action, up to and including termination of the internship",Low
T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 Termination of Internship This internship agreement may be terminated by either party in accordance with the following provisions: 1,Low
"Termination by the Company The Company reserves the right to terminate this agreement with immediate effect, without prior notice, in the event of: (a) gross misconduct, dishonesty, or unethical behaviour",High
(b) material breach of any term or condition of this agreement,Low
Termination by the Intern You may terminate this internship by submitting a written resignation to your reporting manager with a minimum notice period of seven (7) calendar days,High
Mutual Notice Period Except in cases of termination for cause as described in,High
"above, either party shall provide a minimum written notice of seven (7) calendar days prior to the effective date of termination",High
"Return of Company Property Upon termination or expiry of this agreement, you shall immediately return all Company property in your possession, including but not limited to documents, credentials, access tokens, digital assets, equipment, and any materials containing Confidential Information",Low
"Acknowledgment and Acceptance By affixing your signature below, you hereby confirm that you have read this agreement in its entirety, that you fully understand its contents and implications, and that you voluntarily and unconditionally accept all terms, conditions, obligations, and policies set forth herein",Low
Your signature constitutes a binding acknowledgment of your acceptance of the internship offer and your commitment to comply with the provisions of this agreement,Low
"This letter sets forth the complete terms and conditions governing your internship engagement, including your role, reporting structure, compensation, obligations, and the policies applicable to your tenure",Low
Employment Agreement: Terms and Conditions You are hereby offered the position of Frontend Developer Intern on an internship basis under a fully remote work arrangement,Low
"Vijay Adsul will be responsible for assigning tasks, providing guidance, evaluating your deliverables, and ensuring adherence to the terms of this agreement throughout the internship period",Low
"Your internship shall commence on 13th April 2026 and shall continue for a period of 6 Months, concluding on 12th October 2026, unless terminated earlier in accordance with the provisions set forth in this agreement",Low
"T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 Confidentiality and Non Disclosure Obligations By accepting this offer, you acknowledge and agree to be bound by the following confidentiality and non disclosure obligations for the entire duration of your engagement and thereafter: 1",Low
"This includes, without limitation, trade secrets, source code, algorithms, technical documentation, product designs, business strategies, financial records, client and customer data, vendor agreements, internal communications, employee information, and any other information disclosed to you or accessed by you during the course of your internship",Low
Obligation of Confidentiality You shall maintain the strictest confidence with respect to all Confidential Information,Low
"You shall not, directly or indirectly, disclose, publish, communicate, or make available any Confidential Information to any third party without the prior written authorisation of the Company",Medium
You shall use Confidential Information exclusively for the purpose of performing your assigned duties under this agreement,Low
Exceptions The obligations set forth above shall not apply to information that: (a) is or becomes part of the public domain through no act or omission on your part,Low
"Return and Destruction of Materials Upon the conclusion or termination of your internship, howsoever arising, you shall immediately return to the Company all documents, files, records, media, and materials (in both physical and electronic form) containing or relating to Confidential Information",Low
"Survival of Obligations Your confidentiality and non disclosure obligations under this agreement shall survive the termination or expiry of your internship and shall remain in full force and effect indefinitely, unless expressly released in writing by an authorised representative of the Company",Low
"Consequences of Breach Any breach of these confidentiality obligations may result in the immediate termination of your internship and may expose you to legal proceedings, including claims for damages, injunctive relief, and any other remedies available under applicable law",Low
"You shall not engage in any external activity, employment, or business relationship that may compromise your objectivity, performance, or loyalty to the Company during the term of this agreement",Low
"Such action may include, but is not limited to, formal written warnings, temporary suspension of duties, or immediate termination of the internship",Low
"Repeated or prolonged unauthorised absences may adversely affect your performance evaluation and may constitute grounds for disciplinary action, up to and including termination of the internship",Low
T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 T E C P J H 8 0 Termination of Internship This internship agreement may be terminated by either party in accordance with the following provisions: 1,Low
